cardholder_name,card_number,customer_age,customer_segment,card_type,customer_location,merchant_name,merchant_location,trans_id,trans_approval_code,trans_loc,trans_cat,trans_currency,mcc,trans_amount,trans_date,trans_payment_method,trans_verify_method,trans_status,fake
Eric Scott,697928097444,49,Retail,Other,Kolkata,airtel,"Tokyo, Japan",Qc9M36mAY1s6rxld9M,L6TGCC,Kolkata,Travel,INR,4013,31.729999542236328,2023-08-18 08:17:12,Debit Card,Biometric,Payment,False
Eric Scott,697928097444,49,Retail,Other,Kolkata,airtel,"Cape Town, South Africa",Hlrx3ReSC0IJRYzBy5,XTIUMZ,Kolkata,Entertainment,INR,4017,1358.260009765625,2023-08-28 12:16:07,Credit Card,Biometric,Payment,False
Eric Scott,697928097444,49,Retail,Other,Kolkata,fake_merchant_8,"New York City, USA",qScFTTzOUZD3M0rcg5,EX8G40,Kolkata,Dining,CAD,4007,7453.27001953125,2023-09-03 00:55:30,Debit Card,PIN,Transfer,True
Jason Jacobs,357500497046,55,Student,Visa,Delhi,rakuten,Chennai,0cOkB7x1L6DB5WzKvu,PWKEUM,Delhi,Retail,INR,4010,2781.909912109375,2023-08-16 04:00:04,Credit Card,Biometric,Payment,False
Jason Jacobs,357500497046,55,Student,Visa,Delhi,swiggy,Chennai,O7jfbyedchAWUScw30,T70W7M,Delhi,Grocery,INR,4018,39.0,2023-09-02 15:01:38,Credit Card,Biometric,Transfer,False
Jason Jacobs,357500497046,55,Student,Visa,Delhi,chai talks,"Dubai, UAE",cg6Y9kHGe0ENh3a6Az,4P6AO8,Delhi,Retail,USD,4016,35631.96875,2023-09-02 15:02:08,Credit Card,Biometric,Payment,True
Heather Lewis,263191058753,36,Student,American Express,Bangalore,zomato,Jaipur,ntqm2jxQsiMmYsQSp1,5MWOTX,Bangalore,Retail,INR,4017,10.0,2023-08-10 11:25:14,Credit Card,Biometric,Payment,False
Heather Lewis,263191058753,36,Student,American Express,Bangalore,amazon gift cards,"Cape Town, South Africa",TETj62XQ7zJWeTt6iA,2M3YBC,Bangalore,Retail,INR,4002,1980.0,2023-08-15 14:43:18,Credit Card,PIN,Transfer,False
Heather Lewis,263191058753,36,Student,American Express,Bangalore,instamart,"Singapore, Singapore",j3xnNiyK9WW7X0ZDn1,3RVJP4,Bangalore,Retail,INR,4013,2141.0,2023-08-23 13:14:19,Credit Card,PIN,Payment,False
Heather Lewis,263191058753,36,Student,American Express,Bangalore,rakuten,"New York City, USA",BKDVY2pQ4lyAo61Q28,NFMS2N,Bangalore,Other,INR,4000,21.1200008392334,2023-09-01 09:19:27,Debit Card,Biometric,Transfer,False
