cardholder_name,card_number,customer_age,customer_segment,card_type,customer_location,merchant_name,merchant_location,trans_id,trans_approval_code,trans_loc,trans_cat,trans_currency,mcc,trans_amount,trans_date,trans_payment_method,trans_verify_method,trans_status,fake
Kyle Pope,257982276404,25,Premium,Other,Ahmedabad,amazon,"Paris, France",y30ekd9C7litbQ3niT,F5J3CI,Ahmedabad,Other,INR,4012,24093.0,2023-08-14 11:48:35,Credit Card,PIN,Payment,False
Kyle Pope,257982276404,25,Premium,Other,Ahmedabad,amazon,Pune,3SaBDpyzVq3hVlQkh4,KCI9X8,Ahmedabad,Travel,INR,4013,13.0,2023-08-15 12:01:21,Debit Card,PIN,Payment,False
Kyle Pope,257982276404,25,Premium,Other,Ahmedabad,rakuten,Mumbai,9WDsGSxy6RGPMo6h3V,MMHVY8,Ahmedabad,Utilities,INR,4017,40.0,2023-08-28 01:53:06,Debit Card,PIN,Payment,False
Kyle Pope,257982276404,25,Premium,Other,Ahmedabad,amazon gift cards,Jaipur,WVchIGmA8OfmO3YwRb,73AA2L,Ahmedabad,Dining,Other,4014,36.2400016784668,2023-08-28 01:53:33,Debit Card,Biometric,Transfer,True
Kyle Pope,257982276404,25,Premium,Other,Ahmedabad,amazon,Hyderabad,gMiLRc8E7WoUfJpAdJ,B5NKH3,Ahmedabad,Grocery,INR,4001,16.59000015258789,2023-08-28 01:54:15,Debit Card,PIN,Payment,True
Kyle Pope,257982276404,25,Premium,Other,Ahmedabad,fake_merchant_9,"Paris, France",uOH7qPbv7DmnuuZ8AM,XL7TBT,Ahmedabad,Entertainment,INR,4008,44.0,2023-08-28 01:54:46,Debit Card,Biometric,Purchase,True
Kyle Pope,257982276404,25,Premium,Other,Ahmedabad,amazon gift cards,"London, UK",4CO6HFjMgOHus7DutR,9CPKJT,Ahmedabad,Travel,INR,4008,25.0,2023-08-28 01:55:34,Credit Card,Biometric,Purchase,True
Kyle Pope,257982276404,25,Premium,Other,Ahmedabad,fake_merchant_1,"Rio de Janeiro, Brazil",g3inhpStHh42zp6s5p,PQFEPO,Ahmedabad,Grocery,INR,4014,43.0,2023-08-28 01:56:12,Debit Card,PIN,Purchase,True
Kyle Pope,257982276404,25,Premium,Other,Ahmedabad,fake_merchant_7,Lucknow,GRy3QRE2QreeGoEL4M,VR9U3L,Ahmedabad,Dining,JPY,4005,48.90999984741211,2023-08-28 01:56:59,Debit Card,PIN,Payment,True
Kyle Pope,257982276404,25,Premium,Other,Ahmedabad,rakuten,"Singapore, Singapore",t6jHljswqmF6SIWIyf,XGO7RD,Ahmedabad,Dining,INR,4002,16.0,2023-08-28 01:57:35,Credit Card,PIN,Payment,True
Kyle Pope,257982276404,25,Premium,Other,Ahmedabad,zomato,"Cape Town, South Africa",OKrJTq4OpGVQX5mgjz,B58FFH,Ahmedabad,Dining,USD,4017,28.209999084472656,2023-08-28 01:58:13,Debit Card,PIN,Transfer,True
Kyle Pope,257982276404,25,Premium,Other,Ahmedabad,fake_merchant_1,"Rio de Janeiro, Brazil",vcaDcYDNTtx4I8qzw1,VT4A43,Ahmedabad,Utilities,INR,4012,28.0,2023-08-28 01:58:40,Debit Card,Biometric,Payment,True
Kyle Pope,257982276404,25,Premium,Other,Ahmedabad,fake_merchant_1,Bangalore,VYtxsV5V7UWdpACytW,1HC60E,Ahmedabad,Travel,INR,4012,12.0,2023-08-28 01:59:28,Credit Card,PIN,Purchase,True
Kyle Pope,257982276404,25,Premium,Other,Ahmedabad,chai talks,"London, UK",lYF2PwWYCLAyrz6BGC,MHHY82,Ahmedabad,Grocery,AUD,4016,19.850000381469727,2023-08-28 02:00:16,Debit Card,Biometric,Transfer,True
Kyle Pope,257982276404,25,Premium,Other,Ahmedabad,fake_merchant_2,"Sydney, Australia",6O2hKLzLbVVC5SMpEF,CDW79X,Ahmedabad,Utilities,INR,4011,36.790000915527344,2023-08-28 02:01:04,Credit Card,Biometric,Payment,True
Kyle Pope,257982276404,25,Premium,Other,Ahmedabad,zomato,"Tokyo, Japan",ijbsSdaWsPx0Jh42NW,3LBFDB,Ahmedabad,Travel,INR,4013,32.36000061035156,2023-08-28 02:01:36,Credit Card,PIN,Transfer,True
Christina Hall,235054367876,37,Retail,Visa,Lucknow,rakuten,"Sydney, Australia",7iXnm9ekCooLKx0Lou,PZILW9,Lucknow,Grocery,INR,4018,9.0,2023-08-14 14:48:40,Debit Card,PIN,Purchase,False
Christina Hall,235054367876,37,Retail,Visa,Lucknow,swiggy,Bangalore,0uybqGTpO4AwRWAXQb,95TOGU,Lucknow,Other,INR,4008,2966.6201171875,2023-08-22 05:11:41,Debit Card,PIN,Payment,False
Christina Hall,235054367876,37,Retail,Visa,Lucknow,chai talks,"New York City, USA",lU1Sy2WWDIFhzDxlRd,DYOB7M,Lucknow,Entertainment,INR,4017,28.0,2023-08-28 16:36:50,Credit Card,PIN,Payment,False
Christina Hall,235054367876,37,Retail,Visa,Lucknow,fake_merchant_6,Lucknow,wW3TceDiWLdPrF2Qrl,ULGKET,Lucknow,Utilities,INR,4017,44.81999969482422,2023-08-28 16:37:28,Debit Card,Biometric,Payment,True
