cardholder_name,card_number,customer_age,customer_segment,card_type,customer_location,merchant_name,merchant_location,trans_id,trans_approval_code,trans_loc,trans_cat,trans_currency,mcc,trans_amount,trans_date,trans_payment_method,trans_verify_method,trans_status,fake
Jennifer Lynch,101817839395,24,Retail,American Express,Delhi,chai talks,Hyderabad,jABV9sHmg1yWtuMnXJ,TCCODT,Delhi,Other,INR,4019,3769.18994140625,2023-08-12 05:11:26,Credit Card,Biometric,Transfer,False
Jennifer Lynch,101817839395,24,Retail,American Express,Delhi,rakuten,"Rio de Janeiro, Brazil",eps8UGCmRTo8qVZnsl,SFZGEK,Delhi,Utilities,INR,4010,9.0,2023-08-18 14:46:02,Debit Card,PIN,Purchase,False
Jennifer Lynch,101817839395,24,Retail,American Express,Delhi,rakuten,"Rio de Janeiro, Brazil",JBkSKl1RjKnvpLwHLx,TVHJGL,Delhi,Retail,INR,4013,14.550000190734863,2023-08-21 00:51:51,Debit Card,PIN,Payment,False
Jennifer Lynch,101817839395,24,Retail,American Express,Delhi,amazon gift cards,"Rio de Janeiro, Brazil",cxGo36lwVcbbkvkx2Q,J6A571,Delhi,Grocery,INR,4002,880.719970703125,2023-09-03 16:16:05,Debit Card,Biometric,Transfer,False
Jennifer Lynch,101817839395,24,Retail,American Express,Delhi,fake_merchant_7,"Rio de Janeiro, Brazil",Dsj7gs3XfCcpnYnFLH,XGKZ9L,Delhi,Grocery,JPY,4001,46486.28125,2023-09-03 16:16:43,Debit Card,PIN,Purchase,True
Tara Vargas,631147457833,24,Premium,American Express,Kolkata,instamart,Pune,OlHkXyqRbrN6MZ0gU7,95X0YX,Kolkata,Entertainment,INR,4008,2852.9599609375,2023-08-13 19:41:56,Debit Card,PIN,Transfer,False
Tara Vargas,631147457833,24,Premium,American Express,Kolkata,amazon,"New York City, USA",8TpVHOxaCQJRgjD67z,N5DCKJ,Kolkata,Dining,INR,4018,576.0,2023-08-19 05:17:49,Credit Card,PIN,Transfer,False
Tara Vargas,631147457833,24,Premium,American Express,Kolkata,airtel,"Cape Town, South Africa",nLpMLBMcgszv9icpkR,6WEPY9,Kolkata,Entertainment,INR,4018,34912.26171875,2023-08-19 05:18:15,Credit Card,PIN,Payment,True
Tara Vargas,631147457833,24,Premium,American Express,Kolkata,fake_merchant_4,"Cape Town, South Africa",Zk5M2Vey2B3eHM3E4E,V9VWAV,Kolkata,Utilities,EUR,4008,37885.0,2023-08-19 05:19:04,Credit Card,PIN,Purchase,True
Audrey Stone,079471474945,21,Retail,Visa,Pune,amazon gift cards,Lucknow,BRVdS6HbBRn2eFzi4U,IOHDPR,Pune,Travel,INR,4001,5.889999866485596,2023-08-20 21:14:01,Credit Card,PIN,Transfer,False
Audrey Stone,079471474945,21,Retail,Visa,Pune,chai talks,"London, UK",b3grnM9Js1RyaSKilu,03P15C,Pune,Other,INR,4009,44.0,2023-09-07 04:10:05,Credit Card,PIN,Purchase,False
Audrey Stone,079471474945,21,Retail,Visa,Pune,chai talks,Mumbai,LyFzeEH0BWkQURe4t2,X7RCJG,Pune,Travel,CAD,4005,43651.98046875,2023-09-07 23:30:12,Debit Card,Biometric,Purchase,True
Audrey Stone,079471474945,21,Retail,Visa,Pune,rakuten,Hyderabad,H1wpseFOLaQRgK06bi,E5AK0M,Pune,Utilities,AUD,4006,32484.640625,2023-09-08 08:35:35,Credit Card,Biometric,Purchase,True
Ashley Cooper,181728295857,55,Retail,American Express,Bangalore,swiggy,"Rio de Janeiro, Brazil",5PEflzqFzVRJWmz06i,7FQO9D,Bangalore,Utilities,INR,4018,3615.56005859375,2023-09-04 05:35:13,Credit Card,PIN,Purchase,False
Ashley Cooper,181728295857,55,Retail,American Express,Bangalore,airtel,Jaipur,crQ2EL3AkSaNLKCWgh,Y6FRDB,Bangalore,Grocery,AUD,4011,35418.0,2023-09-06 06:13:55,Debit Card,PIN,Purchase,True
Ashley Cooper,181728295857,55,Retail,American Express,Bangalore,fake_merchant_5,Ahmedabad,MmOK9ClkRdUjyvd4OD,N5GZ7P,Bangalore,Entertainment,INR,4006,45657.19140625,2023-09-07 00:52:15,Debit Card,Biometric,Transfer,True
Teresa Cohen,716331730669,26,Student,Other,Bangalore,rakuten,Bangalore,VgsCP0GIwdwOBrnarq,YH5Q33,Bangalore,Retail,INR,4007,2366.0,2023-08-26 05:49:25,Debit Card,Biometric,Payment,False
Teresa Cohen,716331730669,26,Student,Other,Bangalore,swiggy,Chennai,BGAVFFi2MebuBodhKX,57LPAY,Bangalore,Entertainment,EUR,4013,41194.3984375,2023-08-26 05:50:02,Debit Card,Biometric,Transfer,True
Alexander Gill,993210792338,43,Retail,Other,Lucknow,amazon gift cards,"Paris, France",W3tnC5SpqtDlSv2xZG,9XO8CO,Lucknow,Travel,INR,4018,976.0,2023-08-22 05:00:56,Credit Card,PIN,Transfer,False
Alexander Gill,993210792338,43,Retail,Other,Lucknow,rakuten,"Cape Town, South Africa",cbqNfIEd0IhXt524iR,Y7UP3X,Lucknow,Dining,INR,4005,17.0,2023-09-02 00:17:56,Credit Card,PIN,Payment,False
Alexander Gill,993210792338,43,Retail,Other,Lucknow,amazon gift cards,Jaipur,yUXaRdKmHGQdqDwhuw,Q5FXER,Lucknow,Dining,INR,4018,461.4700012207031,2023-09-02 16:49:42,Debit Card,Biometric,Transfer,False
Alexander Gill,993210792338,43,Retail,Other,Lucknow,fake_merchant_6,Kolkata,qCaD9aOzZS1JxEBYlV,XFYYCW,Lucknow,Utilities,USD,4011,46732.62109375,2023-09-02 16:50:16,Credit Card,Biometric,Purchase,True
Alexander Gill,993210792338,43,Retail,Other,Lucknow,fake_merchant_9,"London, UK",Kc0xlhxYiimKcUfIGa,I5N6S0,Lucknow,Grocery,INR,4006,30347.939453125,2023-09-02 16:51:03,Credit Card,PIN,Transfer,True
Caleb Bishop,597158686768,21,Premium,MasterCard,Bangalore,chai talks,"Rio de Janeiro, Brazil",Vh5jH5bZkBqJdUSd3L,0823S6,Bangalore,Travel,INR,4007,4.239999771118164,2023-08-17 23:10:01,Debit Card,PIN,Purchase,False
Caleb Bishop,597158686768,21,Premium,MasterCard,Bangalore,zomato,"Singapore, Singapore",44T7wVGeszly5Xkulc,T8GVP9,Bangalore,Utilities,INR,4012,24.290000915527344,2023-08-27 03:31:30,Credit Card,Biometric,Payment,False
Caleb Bishop,597158686768,21,Premium,MasterCard,Bangalore,airtel,"London, UK",ZIqs4hAVznjNVosilj,KDSJ48,Bangalore,Utilities,JPY,4013,21386.0,2023-08-27 03:31:53,Debit Card,Biometric,Transfer,True
Caleb Bishop,597158686768,21,Premium,MasterCard,Bangalore,fake_merchant_6,"Singapore, Singapore",UeJM65gSXgiE9TazeG,S7CNRP,Bangalore,Grocery,INR,4004,39224.890625,2023-08-27 03:32:39,Credit Card,PIN,Purchase,True
Nicole Hernandez,315570784904,41,Student,Other,Kolkata,airtel,Ahmedabad,HfetV2fggttsKuwDf1,TC1FX5,Kolkata,Retail,INR,4018,3909.139892578125,2023-09-07 12:07:09,Debit Card,PIN,Purchase,False
Nicole Hernandez,315570784904,41,Student,Other,Kolkata,fake_merchant_6,"Paris, France",PIgeKOLLynUJTemtNo,7IK06V,Kolkata,Dining,INR,4013,44897.05859375,2023-09-07 12:07:53,Debit Card,Biometric,Purchase,True
William Miller,007787430504,35,Student,American Express,Hyderabad,zomato,"Cape Town, South Africa",zeuYyFc9Xrn0a1wwvQ,WCB99I,Hyderabad,Entertainment,INR,4018,50.0,2023-08-24 22:02:44,Credit Card,PIN,Transfer,False
William Miller,007787430504,35,Student,American Express,Hyderabad,instamart,"Tokyo, Japan",sRnYhYvPYPx6PUvgO2,JPRCVY,Hyderabad,Utilities,JPY,4001,41963.078125,2023-08-28 23:48:37,Debit Card,Biometric,Payment,True
Cheyenne Walker,268067500189,59,Other,Other,Mumbai,instamart,"Tokyo, Japan",iGBHDw2685nq1NDlkY,HSF7EP,Mumbai,Travel,INR,4004,37.0,2023-08-27 22:07:06,Debit Card,Biometric,Payment,False
Cheyenne Walker,268067500189,59,Other,Other,Mumbai,rakuten,"Dubai, UAE",zrvvZnerary46QQo47,4US8PQ,Mumbai,Retail,INR,4018,31.0,2023-08-28 14:20:45,Credit Card,PIN,Purchase,False
Cheyenne Walker,268067500189,59,Other,Other,Mumbai,swiggy,"Cape Town, South Africa",UQeYrfQdFsrzlMSW1b,99BDLW,Mumbai,Grocery,INR,4012,17.0,2023-09-01 17:38:49,Credit Card,PIN,Purchase,False
Cheyenne Walker,268067500189,59,Other,Other,Mumbai,fake_merchant_0,Hyderabad,vKqoflJFt3SO8WZRBa,3SYEJQ,Mumbai,Dining,CAD,4002,46699.41015625,2023-09-01 17:39:38,Debit Card,Biometric,Transfer,True
Danielle Moreno,705220843290,20,Premium,Rupay,Chennai,instamart,"Toronto, Canada",9jXZHGlemXBtiCeR3O,C58RIU,Chennai,Entertainment,INR,4001,12.0,2023-08-27 20:53:58,Debit Card,PIN,Transfer,False
Danielle Moreno,705220843290,20,Premium,Rupay,Chennai,fake_merchant_0,Pune,wx94p3NwV85L36hhSf,K5DLH6,Chennai,Grocery,INR,4005,33541.0,2023-08-29 13:42:17,Debit Card,PIN,Purchase,True
Danielle Moreno,705220843290,20,Premium,Rupay,Chennai,fake_merchant_6,Delhi,rpTcPpU7P0yDgpOSMG,NYUMR5,Chennai,Entertainment,USD,4018,11937.0,2023-09-01 19:10:34,Credit Card,Biometric,Purchase,True
Kimberly Watson,147485470336,30,Retail,Other,Pune,rakuten,"Cape Town, South Africa",x0CWciI0EJzLrLvCjD,L5H3A5,Pune,Entertainment,INR,4019,42.0,2023-08-23 16:12:48,Credit Card,PIN,Payment,False
Kimberly Watson,147485470336,30,Retail,Other,Pune,amazon gift cards,Ahmedabad,q8MbqKPMDhctUmLRuA,QC3XEV,Pune,Retail,INR,4008,3945.0,2023-08-26 02:09:59,Credit Card,PIN,Payment,False
Kimberly Watson,147485470336,30,Retail,Other,Pune,amazon,Kolkata,zeDt5x8g8M1rbgYAEh,MJJO8H,Pune,Utilities,AUD,4011,30533.380859375,2023-08-26 02:10:41,Debit Card,Biometric,Transfer,True
Kimberly Watson,147485470336,30,Retail,Other,Pune,fake_merchant_7,Hyderabad,rfH2aHSZtUKFM4eq2Y,OJZ94Z,Pune,Entertainment,INR,4004,9936.0,2023-08-26 02:11:11,Debit Card,Biometric,Transfer,True
John Johnson,558841897856,30,Student,Visa,Kolkata,amazon,"Sydney, Australia",IjbmmEPBeOyMI5bU9B,3H8HMG,Kolkata,Grocery,INR,4011,17.0,2023-08-16 15:32:59,Credit Card,PIN,Payment,False
John Johnson,558841897856,30,Student,Visa,Kolkata,chai talks,"Cape Town, South Africa",hOQYIamqknyG0OYr5P,W8YW8W,Kolkata,Travel,INR,4004,41.959999084472656,2023-08-30 19:44:41,Debit Card,Biometric,Purchase,False
John Johnson,558841897856,30,Student,Visa,Kolkata,amazon,Hyderabad,eVoN7VCydF3ENVsxNU,RAL5UE,Kolkata,Dining,INR,4017,10.0,2023-08-31 01:40:36,Debit Card,PIN,Payment,False
John Johnson,558841897856,30,Student,Visa,Kolkata,chai talks,"Dubai, UAE",gRFuXcmjL5tAkOA5tw,79GSXF,Kolkata,Utilities,INR,4019,36.0,2023-09-05 18:44:56,Debit Card,Biometric,Transfer,False
John Johnson,558841897856,30,Student,Visa,Kolkata,fake_merchant_7,"Sydney, Australia",w1wzsNsRW0dvxTKCvv,6Z2BW4,Kolkata,Grocery,INR,4011,27098.0,2023-09-05 18:45:30,Credit Card,Biometric,Payment,True
Kelly Gordon,296488962367,20,Other,American Express,Kolkata,airtel,Mumbai,mWtqBriUn0RZu1br8V,HHEEUC,Kolkata,Entertainment,INR,4019,365.1700134277344,2023-08-12 03:14:39,Credit Card,PIN,Purchase,False
Kelly Gordon,296488962367,20,Other,American Express,Kolkata,chai talks,Chennai,P6PpLZ8Jqtinkea7PU,WJD462,Kolkata,Grocery,INR,4019,27.760000228881836,2023-08-31 18:40:43,Credit Card,PIN,Payment,False
Kelly Gordon,296488962367,20,Other,American Express,Kolkata,chai talks,Chennai,KiZ4lGEp8LgdVgQx1p,JJQJ2M,Kolkata,Utilities,INR,4013,17.0,2023-09-03 16:51:49,Debit Card,PIN,Transfer,False
Kelly Gordon,296488962367,20,Other,American Express,Kolkata,amazon,Ahmedabad,lxUIuT1zqaNRsUmk7V,XSRRM2,Kolkata,Utilities,JPY,4011,32944.33984375,2023-09-04 12:59:58,Credit Card,PIN,Transfer,True
Diane Kerr,653922135273,38,Other,Rupay,Pune,amazon,"Sydney, Australia",2lRzGvJNebDzCpsfqs,Z016II,Pune,Entertainment,INR,4004,3246.8701171875,2023-08-11 16:37:18,Credit Card,PIN,Purchase,False
