cardholder_name,card_number,customer_age,customer_segment,card_type,customer_location,merchant_name,merchant_location,trans_id,trans_approval_code,trans_loc,trans_cat,trans_currency,mcc,trans_amount,trans_date,trans_payment_method,trans_verify_method,trans_status,fake
Amber Allen,765379536455,41,Other,Other,Pune,swiggy,"Cape Town, South Africa",HfrXrmPnMINT5QdoNW,0E8M9D,Pune,Dining,INR,4016,44.0,2023-08-19 10:39:06,Debit Card,Biometric,Transfer,False
Amber Allen,765379536455,41,Other,Other,Pune,amazon gift cards,Mumbai,rgCRtE4dH6ZcPXJc3i,F011HH,Pune,Dining,AUD,4006,47149.0,2023-09-06 11:14:27,Credit Card,PIN,Purchase,True
John Duarte,866084710411,32,Retail,MasterCard,Hyderabad,airtel,Bangalore,xa8IRBcEiTEbQyor5e,ZV7RNY,Hyderabad,Other,INR,4015,2333.31005859375,2023-08-10 11:44:17,Credit Card,Biometric,Purchase,False
John Duarte,866084710411,32,Retail,MasterCard,Hyderabad,fake_merchant_1,"Dubai, UAE",5FZwsj9ub1Rl2F2c23,1CKJ96,Hyderabad,Grocery,INR,4016,26719.029296875,2023-08-21 17:29:05,Credit Card,PIN,Payment,True
John Duarte,866084710411,32,Retail,MasterCard,Hyderabad,fake_merchant_4,Kolkata,MQNSbqAh12UPty77S5,27QLWJ,Hyderabad,Utilities,EUR,4007,24072.44921875,2023-08-26 09:52:15,Debit Card,Biometric,Transfer,True
Alicia Reynolds,674158753795,23,Premium,Rupay,Lucknow,zomato,"Dubai, UAE",SHh3GTZi8zJhx4MkMT,AL2Y9Z,Lucknow,Dining,INR,4016,10.0,2023-08-19 03:05:03,Debit Card,Biometric,Transfer,False
Alicia Reynolds,674158753795,23,Premium,Rupay,Lucknow,chai talks,"Rio de Janeiro, Brazil",iSPW9VHlQqhRGxs9TW,EVENP6,Lucknow,Grocery,INR,4009,38.45000076293945,2023-08-23 21:42:23,Credit Card,Biometric,Purchase,False
Alicia Reynolds,674158753795,23,Premium,Rupay,Lucknow,fake_merchant_5,"Singapore, Singapore",XiRVzNyQ8GxpQUi2eR,4V0VTP,Lucknow,Dining,INR,4002,48146.9609375,2023-09-08 07:00:11,Debit Card,PIN,Purchase,True
Krista Snyder,845918549161,49,Student,Rupay,Mumbai,airtel,"Rio de Janeiro, Brazil",acGazsLvqm8P5Z5wCg,X0IBVW,Mumbai,Utilities,INR,4008,1308.0,2023-08-14 07:48:00,Debit Card,Biometric,Transfer,False
Krista Snyder,845918549161,49,Student,Rupay,Mumbai,rakuten,Pune,4FBLmK3rZ8RXZPhhkr,BRQLIA,Mumbai,Utilities,INR,4000,6.840000152587891,2023-08-23 11:38:17,Debit Card,PIN,Payment,False
Krista Snyder,845918549161,49,Student,Rupay,Mumbai,instamart,Delhi,1BUbdLPrsILP6bPmRB,57D39C,Mumbai,Travel,INR,4011,41.2400016784668,2023-08-26 05:18:14,Credit Card,PIN,Purchase,False
Krista Snyder,845918549161,49,Student,Rupay,Mumbai,fake_merchant_9,"London, UK",CwGA6gYUVHUXnuO9rs,I1XC8U,Mumbai,Utilities,INR,4007,44830.0,2023-09-02 19:46:37,Debit Card,PIN,Transfer,True
Paula Keller,350732935328,69,Other,Rupay,Jaipur,amazon gift cards,"Cape Town, South Africa",CRQsQ6670U4mxDpFXg,UKWNKE,Jaipur,Retail,INR,4009,44.0,2023-08-23 04:36:52,Debit Card,Biometric,Payment,False
Paula Keller,350732935328,69,Other,Rupay,Jaipur,amazon,"Toronto, Canada",Xh0XBNrNeLqLZ2EqUK,35Z9TE,Jaipur,Entertainment,INR,4008,21.520000457763672,2023-08-30 04:30:05,Debit Card,Biometric,Transfer,False
Paula Keller,350732935328,69,Other,Rupay,Jaipur,fake_merchant_7,"Singapore, Singapore",3W2s0tjpcZ3IwKNp4u,NLAFM3,Jaipur,Grocery,INR,4019,25101.0,2023-08-31 16:07:37,Credit Card,Biometric,Transfer,True
Paula Keller,350732935328,69,Other,Rupay,Jaipur,fake_merchant_3,Hyderabad,BmwhpceuWYhxHtmCV2,IZ6OU7,Jaipur,Entertainment,INR,4017,22473.3203125,2023-09-08 01:43:17,Credit Card,Biometric,Purchase,True
