cardholder_name,card_number,customer_age,customer_segment,card_type,customer_location,merchant_name,merchant_location,trans_id,trans_approval_code,trans_loc,trans_cat,trans_currency,mcc,trans_amount,trans_date,trans_payment_method,trans_verify_method,trans_status,fake
Marissa Potts,503905403815,52,Premium,Other,Ahmedabad,airtel,"Sydney, Australia",DCQRHR2lNc91E4nJe0,9OUL1E,Ahmedabad,Travel,INR,4002,2873.0,2023-08-17 21:19:04,Debit Card,Biometric,Transfer,False
Marissa Potts,503905403815,52,Premium,Other,Ahmedabad,instamart,Bangalore,noO3BIbw1Jes787KqC,N8MZIU,Ahmedabad,Travel,INR,4005,885.0,2023-09-08 00:42:27,Debit Card,Biometric,Transfer,False
Marissa Potts,503905403815,52,Premium,Other,Ahmedabad,fake_merchant_5,Mumbai,lWBXDjDEZLYYgJ4nXu,LBYEAE,Ahmedabad,Entertainment,EUR,4011,30830.0,2023-09-08 01:35:28,Credit Card,Biometric,Purchase,True
Amber Arroyo,394816650658,21,Premium,MasterCard,Hyderabad,amazon gift cards,Pune,uppjwQGiX12TxgNt36,ZP3S4J,Hyderabad,Travel,INR,4019,840.2000122070312,2023-08-22 13:00:05,Credit Card,PIN,Payment,False
Amber Arroyo,394816650658,21,Premium,MasterCard,Hyderabad,chai talks,"Dubai, UAE",TsPhebYOLB9ONi5qoz,2JWM4F,Hyderabad,Travel,INR,4004,278.0,2023-08-22 13:40:48,Credit Card,Biometric,Payment,False
Amber Arroyo,394816650658,21,Premium,MasterCard,Hyderabad,instamart,Ahmedabad,fAWhY9uhSYhxOor4Uq,VTVL02,Hyderabad,Retail,INR,4005,44.0,2023-08-25 07:13:15,Credit Card,PIN,Payment,False
Amber Arroyo,394816650658,21,Premium,MasterCard,Hyderabad,swiggy,"Dubai, UAE",ooYo9Vj44IK0QHs2Wm,4UM5FI,Hyderabad,Other,INR,4003,1103.0,2023-08-30 11:03:40,Credit Card,PIN,Purchase,False
Amber Arroyo,394816650658,21,Premium,MasterCard,Hyderabad,airtel,"Singapore, Singapore",PIxuIDnnpuAyoGW4E0,GC3DBM,Hyderabad,Travel,INR,4009,19923.0,2023-08-31 18:37:02,Debit Card,Biometric,Payment,True
Roger Bennett,080594676771,18,Business,MasterCard,Pune,zomato,"Tokyo, Japan",JXShGAQrhdr81hzPyj,GKI0YI,Pune,Entertainment,INR,4012,39.0,2023-08-13 17:01:57,Debit Card,Biometric,Transfer,False
Roger Bennett,080594676771,18,Business,MasterCard,Pune,airtel,Hyderabad,OaTU01iW3y7234wznS,W0Z0NY,Pune,Travel,INR,4009,463.0,2023-08-16 08:47:06,Credit Card,PIN,Purchase,False
Roger Bennett,080594676771,18,Business,MasterCard,Pune,instamart,Bangalore,1zw4SQmsgwkQmI4aeb,3N0DZ8,Pune,Travel,INR,4011,237.5800018310547,2023-09-05 04:34:01,Credit Card,PIN,Payment,False
Roger Bennett,080594676771,18,Business,MasterCard,Pune,instamart,Pune,fsEPbdWTGrnJRqmmMQ,XWKRXQ,Pune,Travel,INR,4000,3628.0,2023-09-06 21:30:38,Credit Card,Biometric,Purchase,False
Roger Bennett,080594676771,18,Business,MasterCard,Pune,amazon gift cards,"New York City, USA",3ds4fOHIwjXn9fvsF7,37GFPC,Pune,Retail,JPY,4007,31873.0,2023-09-06 21:31:08,Credit Card,Biometric,Transfer,True
Roger Bennett,080594676771,18,Business,MasterCard,Pune,fake_merchant_0,Pune,ntSQDLDpPuuSlEaltn,E3VEST,Pune,Entertainment,INR,4001,26839.630859375,2023-09-06 21:31:36,Credit Card,PIN,Transfer,True
Briana Ballard,733904936880,31,Premium,Visa,Kolkata,zomato,"Cape Town, South Africa",FAXOcDSWkjHiRf8ccC,OQCRRF,Kolkata,Travel,INR,4002,1018.0,2023-08-23 14:54:28,Credit Card,Biometric,Purchase,False
Briana Ballard,733904936880,31,Premium,Visa,Kolkata,fake_merchant_6,Kolkata,zEDDPBunJdDA9IdWum,4OPAQO,Kolkata,Travel,CAD,4004,6125.080078125,2023-08-23 14:54:51,Debit Card,PIN,Payment,True
Brandon Hardy,928056639302,45,Retail,Rupay,Chennai,swiggy,"Tokyo, Japan",IgLFJUaromBGNHIhAf,NTWHO6,Chennai,Grocery,INR,4006,1961.050048828125,2023-08-11 05:59:22,Credit Card,PIN,Purchase,False
Brandon Hardy,928056639302,45,Retail,Rupay,Chennai,amazon gift cards,Chennai,bYhPYmgJBy6rNk2eWi,FVET1B,Chennai,Utilities,INR,4004,31.1200008392334,2023-08-24 00:06:46,Debit Card,PIN,Transfer,False
Brandon Hardy,928056639302,45,Retail,Rupay,Chennai,swiggy,Pune,qVzh7KuVxwgZXqswys,D0VBJJ,Chennai,Utilities,INR,4018,40.65999984741211,2023-09-01 12:32:23,Credit Card,Biometric,Transfer,False
