cardholder_name,card_number,customer_age,customer_segment,card_type,customer_location,merchant_name,merchant_location,trans_id,trans_approval_code,trans_loc,trans_cat,trans_currency,mcc,trans_amount,trans_date,trans_payment_method,trans_verify_method,trans_status,fake
Alyssa Edwards,583693882938,68,Business,Other,Bangalore,instamart,"Sydney, Australia",3jBFlhxaPsL12Hkglu,9S5LZU,Bangalore,Entertainment,INR,4000,8.720000267028809,2023-08-16 01:56:21,Debit Card,PIN,Transfer,False
Alyssa Edwards,583693882938,68,Business,Other,Bangalore,instamart,"Rio de Janeiro, Brazil",azmfVhW8jxZrSieRA4,H74XMP,Bangalore,Utilities,INR,4004,1169.199951171875,2023-08-30 11:33:33,Credit Card,Biometric,Payment,False
Alyssa Edwards,583693882938,68,Business,Other,Bangalore,fake_merchant_9,"Tokyo, Japan",TVDsPNTTmDh1DQWvH9,B6QP7C,"Dubai, UAE",Dining,USD,4016,1699.239990234375,2023-08-31 03:52:53,Credit Card,Biometric,Transfer,True
Alyssa Edwards,583693882938,68,Business,Other,Bangalore,fake_merchant_6,"Toronto, Canada",sxJZTJUsSn0sWYLZnH,AOV0GZ,Jaipur,Other,INR,4012,512.0,2023-09-06 03:35:52,Credit Card,Biometric,Payment,True
Teresa Wright,436159553914,65,Student,MasterCard,Mumbai,airtel,"Rio de Janeiro, Brazil",0estsJnnyzs0mq5rvC,9I9PUJ,Mumbai,Travel,INR,4005,19.0,2023-08-14 15:39:06,Debit Card,Biometric,Purchase,False
Teresa Wright,436159553914,65,Student,MasterCard,Mumbai,amazon,"Toronto, Canada",c5NYzU6lYxHaUe228L,ELP6XU,Mumbai,Entertainment,INR,4008,2988.06005859375,2023-08-27 08:40:13,Credit Card,Biometric,Transfer,False
Teresa Wright,436159553914,65,Student,MasterCard,Mumbai,amazon,"New York City, USA",WtHFX2SWnt5qy5I73t,U8Q7N5,Mumbai,Travel,INR,4013,50.0,2023-08-29 00:19:02,Debit Card,Biometric,Transfer,False
Teresa Wright,436159553914,65,Student,MasterCard,Mumbai,amazon gift cards,"Singapore, Singapore",eey2DuIhDqsRHZG5mv,T9U99X,Mumbai,Entertainment,INR,4004,20.729999542236328,2023-09-07 14:23:03,Credit Card,PIN,Payment,False
Teresa Wright,436159553914,65,Student,MasterCard,Mumbai,fake_merchant_2,"Tokyo, Japan",9tICYbPlGJ4rjcmsjl,43HYY6,Ahmedabad,Dining,Other,4005,754.5700073242188,2023-09-08 09:48:06,Credit Card,PIN,Purchase,True
Marissa Ortiz,301661879177,52,Retail,Rupay,Delhi,chai talks,"London, UK",ruBl2MKSA9pKTvg63Q,R9AMRT,Delhi,Grocery,INR,4013,22.270000457763672,2023-08-22 06:54:58,Credit Card,PIN,Transfer,False
Marissa Ortiz,301661879177,52,Retail,Rupay,Delhi,fake_merchant_4,"Rio de Janeiro, Brazil",MzFA5eq53TPHh2IGVT,AIYKE6,Kolkata,Travel,INR,4011,49129.0,2023-08-22 06:55:22,Credit Card,PIN,Payment,True
Marissa Ortiz,301661879177,52,Retail,Rupay,Delhi,fake_merchant_0,Hyderabad,e7By2yRsLxemqRk3Ej,IUDJRL,Pune,Utilities,USD,4004,43538.91015625,2023-08-22 06:55:50,Credit Card,Biometric,Transfer,True
David Thompson,271997802449,31,Student,Rupay,Ahmedabad,rakuten,"Sydney, Australia",BUZDzMBrLjkghYy1Tb,SM6LAQ,Ahmedabad,Travel,INR,4010,31.1299991607666,2023-08-27 19:34:45,Credit Card,PIN,Transfer,False
David Thompson,271997802449,31,Student,Rupay,Ahmedabad,airtel,"Tokyo, Japan",xzckpLXVRolyuIDtW0,XGIFBY,Ahmedabad,Dining,INR,4003,3314.93994140625,2023-09-08 14:07:19,Credit Card,PIN,Payment,False
David Thompson,271997802449,31,Student,Rupay,Ahmedabad,fake_merchant_8,"Sydney, Australia",G8Y530S49MUE17kVg2,4GC3WX,,Travel,EUR,4004,39195.0,2023-09-08 14:07:53,Credit Card,Biometric,Transfer,True
