cardholder_name,card_number,customer_age,customer_segment,card_type,customer_location,merchant_name,merchant_location,trans_id,trans_approval_code,trans_loc,trans_cat,trans_currency,mcc,trans_amount,trans_date,trans_payment_method,trans_verify_method,trans_status,fake
Christian Davis,851758173713,34,Student,Rupay,Delhi,instamart,Ahmedabad,wNkKkA7Y0t4Gguxogk,CJG687,Delhi,Other,INR,4018,23303.0,2023-08-20 22:33:58,Debit Card,Biometric,Purchase,False
Christian Davis,851758173713,34,Student,Rupay,Delhi,instamart,Pune,CppTdBAb5e4J6LLu0j,EY6H8V,Delhi,Travel,INR,4011,50.0,2023-08-27 22:47:27,Debit Card,Biometric,Payment,False
Christian Davis,851758173713,34,Student,Rupay,Delhi,amazon,Ahmedabad,7HDkAdDk7SOQXDc0Ih,HP7C89,Delhi,Utilities,INR,4018,809.0499877929688,2023-08-28 22:52:17,Debit Card,Biometric,Purchase,False
Christian Davis,851758173713,34,Student,Rupay,Delhi,amazon,Chennai,k49vv56ajr9VM66wB6,36LSLB,Delhi,Utilities,INR,4016,33822.0,2023-09-03 16:13:46,Credit Card,PIN,Purchase,False
Christian Davis,851758173713,34,Student,Rupay,Delhi,amazon gift cards,"Rio de Janeiro, Brazil",ULWahJkbkVEx4HE1KL,ZT4PSZ,Delhi,Grocery,INR,4001,16.170000076293945,2023-09-03 16:14:34,Credit Card,PIN,Purchase,True
Christian Davis,851758173713,34,Student,Rupay,Delhi,fake_merchant_6,Delhi,tsdcTHQ1ZdWo4qBIVq,83TQ3G,Delhi,Travel,EUR,4011,8.539999961853027,2023-09-03 16:15:23,Debit Card,PIN,Payment,True
Christian Davis,851758173713,34,Student,Rupay,Delhi,fake_merchant_1,"Toronto, Canada",Vnu7gp4aSocKveKBtF,589XWS,Delhi,Retail,INR,4005,17.760000228881836,2023-09-03 16:16:09,Debit Card,Biometric,Transfer,True
Christian Davis,851758173713,34,Student,Rupay,Delhi,fake_merchant_2,Delhi,yLJvBk9lr5yDbtz57c,QC45LP,Delhi,Other,INR,4008,15.260000228881836,2023-09-03 16:16:35,Debit Card,Biometric,Payment,True
Christian Davis,851758173713,34,Student,Rupay,Delhi,fake_merchant_8,"Paris, France",6s0CHGcbTvYVBsWqXX,GG093F,Delhi,Utilities,INR,4010,15.9399995803833,2023-09-03 16:17:08,Debit Card,Biometric,Payment,True
Christian Davis,851758173713,34,Student,Rupay,Delhi,fake_merchant_8,Jaipur,w46ZzDiMzXVDCf0ItY,44NNI1,Delhi,Utilities,Other,4009,17.950000762939453,2023-09-03 16:17:42,Credit Card,Biometric,Purchase,True
Christian Davis,851758173713,34,Student,Rupay,Delhi,swiggy,"Singapore, Singapore",0ICgMrIYozmDGCbKaN,QEXCL6,Delhi,Utilities,AUD,4005,35.0,2023-09-03 16:18:32,Debit Card,PIN,Payment,True
Christian Davis,851758173713,34,Student,Rupay,Delhi,chai talks,"Rio de Janeiro, Brazil",gPrwS6Jfk1uLkiiNL3,EHHG6T,Delhi,Entertainment,Other,4013,37.45000076293945,2023-09-03 16:19:07,Debit Card,Biometric,Transfer,True
Christian Davis,851758173713,34,Student,Rupay,Delhi,amazon,Pune,VA47dPtXJeEhN8CvJI,HH298I,Delhi,Dining,INR,4008,20.860000610351562,2023-09-03 16:19:35,Credit Card,PIN,Purchase,True
Christian Davis,851758173713,34,Student,Rupay,Delhi,fake_merchant_8,Delhi,QcQpn8blsNlqYWbIeJ,B51XKU,Delhi,Travel,AUD,4006,13.0,2023-09-03 16:20:05,Credit Card,Biometric,Purchase,True
Christian Davis,851758173713,34,Student,Rupay,Delhi,instamart,"Paris, France",OcMclqGIpnI4dRojMI,JM0KGX,Delhi,Entertainment,INR,4018,9.420000076293945,2023-09-03 16:20:41,Credit Card,PIN,Purchase,True
Christian Davis,851758173713,34,Student,Rupay,Delhi,fake_merchant_2,"Rio de Janeiro, Brazil",mPZ7NHp7mF3mQDXGez,YWNIXN,Delhi,Entertainment,INR,4008,30.0,2023-09-03 16:21:11,Credit Card,Biometric,Payment,True
Edward Palmer,405801931144,37,Other,Other,Lucknow,amazon,Mumbai,EcZAtXYin5FQbSqCnx,TCHO56,Lucknow,Retail,INR,4010,12.0,2023-08-11 21:50:20,Debit Card,PIN,Payment,False
Edward Palmer,405801931144,37,Other,Other,Lucknow,chai talks,"Cape Town, South Africa",xYuRGN2IYhlaJ9JTCq,I4O1LW,Lucknow,Entertainment,INR,4007,289.0,2023-08-12 17:00:18,Debit Card,Biometric,Payment,False
Edward Palmer,405801931144,37,Other,Other,Lucknow,amazon,"Sydney, Australia",CpdckWyaltEToadquP,1CH69P,Lucknow,Retail,INR,4002,45.34000015258789,2023-08-27 01:10:56,Debit Card,Biometric,Payment,False
Edward Palmer,405801931144,37,Other,Other,Lucknow,zomato,Lucknow,hlWToEwbpCz6niPMXt,I7ZJ4W,Lucknow,Retail,INR,4009,50.0,2023-08-30 18:18:54,Debit Card,PIN,Transfer,False
Edward Palmer,405801931144,37,Other,Other,Lucknow,instamart,"London, UK",34opfUTFoX1tfEg8kx,3YZHUA,Lucknow,Other,INR,4010,38.0,2023-08-30 18:19:25,Debit Card,PIN,Purchase,True
Edward Palmer,405801931144,37,Other,Other,Lucknow,swiggy,Chennai,oqXExaEMM2GVhXHS46,CV3NUU,Lucknow,Other,INR,4006,45.0,2023-08-30 18:20:02,Credit Card,Biometric,Purchase,True
Edward Palmer,405801931144,37,Other,Other,Lucknow,zomato,Jaipur,sOSzHgFRwZn6d5RbvK,FPSDRJ,Lucknow,Utilities,AUD,4002,17.0,2023-08-30 18:20:27,Credit Card,PIN,Transfer,True
Edward Palmer,405801931144,37,Other,Other,Lucknow,fake_merchant_5,"Singapore, Singapore",C2KZDEFHD6OXcAxGPF,AXA9N9,Lucknow,Entertainment,INR,4007,1.5399999618530273,2023-08-30 18:21:09,Debit Card,PIN,Transfer,True
Edward Palmer,405801931144,37,Other,Other,Lucknow,rakuten,Chennai,lX9r6aENU377khyyBi,1F2MA9,Lucknow,Other,INR,4011,15.0,2023-08-30 18:21:38,Debit Card,Biometric,Purchase,True
Edward Palmer,405801931144,37,Other,Other,Lucknow,fake_merchant_7,Jaipur,l6lS9TVu9pf1ClMB0e,U2TM13,Lucknow,Other,INR,4002,15.989999771118164,2023-08-30 18:22:06,Credit Card,PIN,Purchase,True
Edward Palmer,405801931144,37,Other,Other,Lucknow,amazon,"Paris, France",2Vov3s6k8eBo1i2k9K,H68PSZ,Lucknow,Grocery,Other,4002,44.5099983215332,2023-08-30 18:22:52,Credit Card,PIN,Payment,True
Edward Palmer,405801931144,37,Other,Other,Lucknow,swiggy,Kolkata,q5RKjQdHbmXcMyeBbj,ALNOL8,Lucknow,Other,INR,4000,14.09000015258789,2023-08-30 18:23:42,Credit Card,Biometric,Transfer,True
Edward Palmer,405801931144,37,Other,Other,Lucknow,fake_merchant_4,"London, UK",xYmOYXaZPmeDZxA4xA,F8F09G,Lucknow,Travel,INR,4019,20.729999542236328,2023-08-30 18:24:31,Debit Card,Biometric,Purchase,True
Edward Palmer,405801931144,37,Other,Other,Lucknow,chai talks,"Paris, France",Loe3EmlGEERQUknIDU,PJ5ROO,Lucknow,Retail,Other,4004,40.0,2023-08-30 18:25:03,Debit Card,PIN,Transfer,True
Edward Palmer,405801931144,37,Other,Other,Lucknow,instamart,Bangalore,YNzxcXhm7fIaatc4wh,EFTLTW,Lucknow,Utilities,EUR,4013,22.0,2023-08-30 18:25:45,Debit Card,PIN,Transfer,True
Edward Palmer,405801931144,37,Other,Other,Lucknow,instamart,"Toronto, Canada",ulGPY3cKPzwYcnO3NB,0CYF92,Lucknow,Other,JPY,4018,40.0,2023-08-30 18:26:05,Debit Card,PIN,Payment,True
Edward Palmer,405801931144,37,Other,Other,Lucknow,instamart,Ahmedabad,h7ZjvUa0I8lD2JDVME,YB3J3F,Lucknow,Grocery,USD,4011,15.970000267028809,2023-08-30 18:26:50,Debit Card,Biometric,Purchase,True
Kevin Long,966952397403,30,Business,Other,Bangalore,instamart,"Tokyo, Japan",gabCfK5eJ6tlG1T6Yp,TCRSO7,Bangalore,Dining,INR,4016,29.459999084472656,2023-08-23 18:47:33,Credit Card,PIN,Purchase,False
Kevin Long,966952397403,30,Business,Other,Bangalore,swiggy,Lucknow,47D8FE5J4EFd9nmz3h,9GTG62,Bangalore,Entertainment,INR,4008,32.83000183105469,2023-08-26 18:44:56,Debit Card,Biometric,Transfer,False
Kevin Long,966952397403,30,Business,Other,Bangalore,rakuten,"New York City, USA",X86vc0M5JSYnX5iGWR,7BWG12,Bangalore,Other,INR,4002,18901.599609375,2023-09-03 06:22:40,Debit Card,PIN,Payment,False
Kevin Long,966952397403,30,Business,Other,Bangalore,rakuten,Ahmedabad,Qrn57toST4xgcorGdl,PAT4Q0,Bangalore,Entertainment,INR,4016,21802.390625,2023-09-06 20:15:32,Debit Card,Biometric,Payment,False
Kevin Long,966952397403,30,Business,Other,Bangalore,fake_merchant_7,Jaipur,aoCNzWAcHuWKN2bV7q,0J3DKT,Bangalore,Dining,Other,4016,8.890000343322754,2023-09-06 20:16:10,Credit Card,Biometric,Payment,True
Kevin Long,966952397403,30,Business,Other,Bangalore,airtel,"New York City, USA",zGmrvp5Mx7owFDCKbm,I5ECSB,Bangalore,Retail,Other,4011,17.280000686645508,2023-09-06 20:16:45,Debit Card,PIN,Payment,True
Kevin Long,966952397403,30,Business,Other,Bangalore,fake_merchant_2,"Cape Town, South Africa",znbfWGCyfEIAbEgOPb,TEA06Z,Bangalore,Travel,JPY,4000,30.0,2023-09-06 20:17:09,Debit Card,Biometric,Transfer,True
Kevin Long,966952397403,30,Business,Other,Bangalore,amazon,"Sydney, Australia",BHXler056pIwBj4tl2,NCIO2B,Bangalore,Dining,JPY,4007,32.0,2023-09-06 20:17:52,Debit Card,PIN,Purchase,True
Kevin Long,966952397403,30,Business,Other,Bangalore,amazon gift cards,Chennai,yfAGVAdTLb0WeM5QTX,YAZA3P,Bangalore,Entertainment,EUR,4016,22.6299991607666,2023-09-06 20:18:13,Credit Card,Biometric,Transfer,True
Kevin Long,966952397403,30,Business,Other,Bangalore,rakuten,"Tokyo, Japan",N6uuKbJeffjkb0nyw0,5CZSHH,Bangalore,Grocery,JPY,4003,17.0,2023-09-06 20:18:52,Debit Card,Biometric,Transfer,True
Kevin Long,966952397403,30,Business,Other,Bangalore,fake_merchant_6,"Tokyo, Japan",m4HNZIwVV20u0IRFRi,XWXCC1,Bangalore,Entertainment,INR,4004,14.819999694824219,2023-09-06 20:19:20,Credit Card,Biometric,Purchase,True
Kevin Long,966952397403,30,Business,Other,Bangalore,fake_merchant_6,"Toronto, Canada",oN9r3DCy6prDM9qnc2,LZ3XCM,Bangalore,Grocery,INR,4002,11.579999923706055,2023-09-06 20:20:08,Credit Card,PIN,Payment,True
Kevin Long,966952397403,30,Business,Other,Bangalore,fake_merchant_3,Hyderabad,ZjveGmcPby3Fili7hj,EMP6CO,Bangalore,Entertainment,INR,4002,26.0,2023-09-06 20:20:47,Credit Card,Biometric,Payment,True
Kevin Long,966952397403,30,Business,Other,Bangalore,instamart,Chennai,oK6orvafhBSVDMmEfd,37B3C0,Bangalore,Other,CAD,4003,31.270000457763672,2023-09-06 20:21:14,Credit Card,PIN,Payment,True
Kevin Long,966952397403,30,Business,Other,Bangalore,amazon,Bangalore,EVlv6d1vRIl8L5GcNY,K1YNZ1,Bangalore,Grocery,Other,4016,20.0,2023-09-06 20:22:03,Credit Card,PIN,Payment,True
Kevin Long,966952397403,30,Business,Other,Bangalore,zomato,"Paris, France",1QnSv0RZCog7v131h5,US4N4C,Bangalore,Entertainment,INR,4019,32.16999816894531,2023-09-06 20:22:31,Credit Card,PIN,Payment,True
Kevin Long,966952397403,30,Business,Other,Bangalore,amazon,Ahmedabad,ehG3vrgbdKUSKC1SEj,1R3549,Bangalore,Utilities,INR,4010,6.400000095367432,2023-09-06 20:22:58,Debit Card,Biometric,Payment,True
Kevin Long,966952397403,30,Business,Other,Bangalore,chai talks,Mumbai,UnYrJjOfSEujTfhkSJ,01KB5I,Bangalore,Utilities,EUR,4010,47.779998779296875,2023-09-06 20:23:39,Debit Card,Biometric,Purchase,True
Kevin Long,966952397403,30,Business,Other,Bangalore,fake_merchant_8,Ahmedabad,OQv3q4froWQR9TMvmP,RSKHC9,Bangalore,Travel,INR,4007,40.59000015258789,2023-09-06 20:24:00,Debit Card,Biometric,Purchase,True
Kevin Long,966952397403,30,Business,Other,Bangalore,fake_merchant_9,"London, UK",gnV3S3MI741YAFVGEi,9PSK3N,Bangalore,Retail,INR,4002,28.0,2023-09-06 20:24:35,Debit Card,PIN,Purchase,True
Raymond Perkins,305648233365,25,Business,American Express,Bangalore,chai talks,Chennai,4TFykLn3Pd995s8KwT,UM8ERG,Bangalore,Entertainment,INR,4011,45.0,2023-08-10 07:26:28,Debit Card,Biometric,Payment,False
Raymond Perkins,305648233365,25,Business,American Express,Bangalore,amazon gift cards,Hyderabad,JyOEq4M2NSA118UUe8,LAYR3W,Bangalore,Utilities,INR,4003,28.0,2023-09-02 10:50:13,Credit Card,Biometric,Transfer,False
Raymond Perkins,305648233365,25,Business,American Express,Bangalore,fake_merchant_3,"Cape Town, South Africa",nhcVn0RINIXTo5qn1X,E8PXT9,Bangalore,Retail,USD,4004,34.369998931884766,2023-09-02 10:50:46,Credit Card,Biometric,Purchase,True
Raymond Perkins,305648233365,25,Business,American Express,Bangalore,fake_merchant_8,Delhi,gfzmpR4Z9bslxuhwZV,7T0TMG,Bangalore,Travel,CAD,4000,42.0,2023-09-02 10:51:31,Credit Card,PIN,Payment,True
Raymond Perkins,305648233365,25,Business,American Express,Bangalore,instamart,Bangalore,sw0vgFoB4Pcq9JhLI3,A5GIKN,Bangalore,Travel,INR,4012,19.0,2023-09-02 10:51:58,Debit Card,PIN,Transfer,True
Raymond Perkins,305648233365,25,Business,American Express,Bangalore,fake_merchant_1,"New York City, USA",0YmAl4JZyNlFFFtlWp,S110MJ,Bangalore,Utilities,INR,4004,37.56999969482422,2023-09-02 10:52:18,Credit Card,PIN,Transfer,True
Raymond Perkins,305648233365,25,Business,American Express,Bangalore,fake_merchant_7,"Dubai, UAE",AaIStEyJhh3nd9gzY0,XOXKKM,Bangalore,Entertainment,AUD,4002,26.31999969482422,2023-09-02 10:52:52,Debit Card,PIN,Payment,True
Raymond Perkins,305648233365,25,Business,American Express,Bangalore,instamart,Hyderabad,flE2kwPc311vyP3iPO,G72FCY,Bangalore,Entertainment,INR,4018,31.219999313354492,2023-09-02 10:53:31,Debit Card,Biometric,Payment,True
Raymond Perkins,305648233365,25,Business,American Express,Bangalore,fake_merchant_1,"New York City, USA",TJMChUxq7Dl1wXL2vi,GI855I,Bangalore,Grocery,INR,4012,16.0,2023-09-02 10:54:20,Credit Card,PIN,Payment,True
Raymond Perkins,305648233365,25,Business,American Express,Bangalore,fake_merchant_6,"Cape Town, South Africa",7Ir9FIuYUTqObcBCmi,R65TZ9,Bangalore,Retail,CAD,4000,30.0,2023-09-02 10:54:56,Debit Card,PIN,Transfer,True
Raymond Perkins,305648233365,25,Business,American Express,Bangalore,fake_merchant_0,Jaipur,UZePESDakgXKqXbm7p,G48DNS,Bangalore,Dining,Other,4018,27.899999618530273,2023-09-02 10:55:44,Credit Card,Biometric,Transfer,True
Raymond Perkins,305648233365,25,Business,American Express,Bangalore,swiggy,"Toronto, Canada",TlHatEU6SwOzqzbHG3,C6O0Z2,Bangalore,Travel,INR,4009,27.649999618530273,2023-09-02 10:56:26,Credit Card,Biometric,Transfer,True
Raymond Perkins,305648233365,25,Business,American Express,Bangalore,fake_merchant_6,Lucknow,Zfppxds2aaHeYDynaw,L6F7TR,Bangalore,Dining,INR,4007,38.0,2023-09-02 10:56:54,Debit Card,PIN,Payment,True
Raymond Perkins,305648233365,25,Business,American Express,Bangalore,fake_merchant_0,"London, UK",9P7T6BM51reRLIHYzt,SRAL4R,Bangalore,Dining,Other,4011,43.459999084472656,2023-09-02 10:57:43,Credit Card,PIN,Payment,True
Raymond Perkins,305648233365,25,Business,American Express,Bangalore,fake_merchant_3,Lucknow,RY06jj37caCs8FlZIJ,8QQ57E,Bangalore,Utilities,INR,4003,1.4500000476837158,2023-09-02 10:58:17,Debit Card,PIN,Purchase,True
Raymond Perkins,305648233365,25,Business,American Express,Bangalore,rakuten,Bangalore,cbGjQUEXSmvUG93Mng,S0DCXJ,Bangalore,Dining,INR,4002,35.0,2023-09-02 10:58:50,Debit Card,Biometric,Transfer,True
Raymond Perkins,305648233365,25,Business,American Express,Bangalore,amazon,Hyderabad,FWtBmMDHLiMeJvgqhr,PIPSJZ,Bangalore,Dining,INR,4007,40.810001373291016,2023-09-02 10:59:28,Debit Card,Biometric,Payment,True
Raymond Perkins,305648233365,25,Business,American Express,Bangalore,fake_merchant_2,"Sydney, Australia",l1P5RTf5BKUgwcEx6c,DEG18D,Bangalore,Other,INR,4019,37.0,2023-09-02 11:00:10,Debit Card,PIN,Transfer,True
Charles Gonzalez,970133172608,54,Student,American Express,Kolkata,chai talks,"Toronto, Canada",c3kPVG3EQSUNrUMWw7,ANF4NL,Kolkata,Dining,INR,4007,18.649999618530273,2023-08-11 03:31:11,Credit Card,PIN,Payment,False
Charles Gonzalez,970133172608,54,Student,American Express,Kolkata,amazon gift cards,Jaipur,PftZzGtywyBkMeTWLC,V9KK4F,Kolkata,Utilities,INR,4016,2055.02001953125,2023-08-18 19:55:21,Credit Card,Biometric,Transfer,False
Charles Gonzalez,970133172608,54,Student,American Express,Kolkata,rakuten,Ahmedabad,222FzTe1dmqOoCWDCO,STF8Y2,Kolkata,Grocery,INR,4007,47.84000015258789,2023-08-28 14:43:14,Debit Card,Biometric,Transfer,False
Charles Gonzalez,970133172608,54,Student,American Express,Kolkata,instamart,"Rio de Janeiro, Brazil",YgbfTTyGZLpzm6mSql,AQCW1B,Kolkata,Utilities,INR,4016,30.770000457763672,2023-08-28 14:43:36,Credit Card,PIN,Transfer,True
Charles Gonzalez,970133172608,54,Student,American Express,Kolkata,fake_merchant_1,Bangalore,kLNQ6pWm1v4k4nmcbt,FZKPTT,Kolkata,Other,INR,4003,4.360000133514404,2023-08-28 14:44:15,Debit Card,Biometric,Payment,True
Charles Gonzalez,970133172608,54,Student,American Express,Kolkata,fake_merchant_5,"Cape Town, South Africa",MAZkyQUfD0fPrC0j3L,ROIXLX,Kolkata,Retail,AUD,4011,7.0,2023-08-28 14:44:57,Credit Card,Biometric,Transfer,True
Charles Gonzalez,970133172608,54,Student,American Express,Kolkata,zomato,Pune,pEcOj8wtDvkAUyArja,5ALCHZ,Kolkata,Utilities,INR,4016,3.0,2023-08-28 14:45:44,Credit Card,PIN,Payment,True
Charles Gonzalez,970133172608,54,Student,American Express,Kolkata,fake_merchant_6,Chennai,rxCzdbEXamRT0A686J,90CV5A,Kolkata,Utilities,INR,4002,45.0,2023-08-28 14:46:06,Debit Card,PIN,Payment,True
Charles Gonzalez,970133172608,54,Student,American Express,Kolkata,swiggy,"Rio de Janeiro, Brazil",mgs6NjN0wvifoP1jgj,L5JVFW,Kolkata,Entertainment,INR,4012,7.0,2023-08-28 14:46:36,Debit Card,Biometric,Transfer,True
Charles Gonzalez,970133172608,54,Student,American Express,Kolkata,fake_merchant_1,"Toronto, Canada",zIP5lvEWqySS1SvT3f,X2ZXPM,Kolkata,Retail,USD,4003,25.809999465942383,2023-08-28 14:47:11,Debit Card,Biometric,Purchase,True
Charles Gonzalez,970133172608,54,Student,American Express,Kolkata,swiggy,"New York City, USA",gcrUre07b3bLmWBLJs,BN5RQP,Kolkata,Grocery,INR,4019,44.93000030517578,2023-08-28 14:47:44,Debit Card,Biometric,Transfer,True
Charles Gonzalez,970133172608,54,Student,American Express,Kolkata,instamart,"Sydney, Australia",W8AApB1Q4TT2ahWaBd,ZNEKPO,Kolkata,Utilities,INR,4012,11.1899995803833,2023-08-28 14:48:05,Debit Card,Biometric,Purchase,True
Charles Gonzalez,970133172608,54,Student,American Express,Kolkata,fake_merchant_9,"Dubai, UAE",6gzCGwq6zfFs6onGam,WMP8H2,Kolkata,Travel,USD,4010,40.0,2023-08-28 14:48:43,Credit Card,PIN,Transfer,True
