Timestamp,From Bank,From Account,To Bank,To Account,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering,Strategy
2022/08/01 00:17,20,800104D70,20,800104D70,6794.63,US Dollar,6794.63,US Dollar,Reinvestment,0,Nopeee
2022/08/01 00:02,3196,800107150,3196,800107150,7739.29,US Dollar,7739.29,US Dollar,Reinvestment,0,Nopeee
2022/08/01 00:17,1208,80010E430,1208,80010E430,1880.23,US Dollar,1880.23,US Dollar,Reinvestment,0,Nopeee
2022/08/01 00:03,1208,80010E650,20,80010E6F0,73966883.0,US Dollar,73966883.0,US Dollar,Cheque,0,Nopeee
2022/08/01 00:02,1208,80010E650,20,80010EA30,45868454.0,US Dollar,45868454.0,US Dollar,Cheque,0,Nopeee
2022/08/01 00:27,3203,80010EA80,3203,80010EA80,13284.41,US Dollar,13284.41,US Dollar,Reinvestment,0,Nopeee
2022/08/01 00:25,20,800104D20,20,800104D20,9.72,US Dollar,9.72,US Dollar,Reinvestment,0,Nopeee
2022/08/01 00:09,1208,80010E430,1208,80010E430,7.66,US Dollar,7.66,US Dollar,Reinvestment,0,Nopeee
2022/08/01 00:09,11,80010E600,11,80010E600,16.33,US Dollar,16.33,US Dollar,Reinvestment,0,Nopeee
2022/08/01 00:06,1208,80010E650,1208,80010E650,4.86,US Dollar,4.86,US Dollar,Reinvestment,0,Nopeee
2022/08/01 00:25,20,80010E6F0,183112,84DCA3150,3.24,US Dollar,3.24,US Dollar,Credit Card,0,Nopeee
2022/08/01 00:16,20,80010EA30,1601,802B6D220,47.17,US Dollar,47.17,US Dollar,Credit Card,0,Nopeee
2022/08/01 00:14,20,800073020,20,800073020,848368.76,US Dollar,848368.76,US Dollar,Reinvestment,0,Nopeee
2022/08/01 00:05,3566,800345920,3566,800345920,10134.05,US Dollar,10134.05,US Dollar,Reinvestment,0,Nopeee
2022/08/01 00:09,11,800329930,2776,800816450,335999.68,US Dollar,335999.68,US Dollar,Cheque,0,Nopeee
2022/08/01 00:07,0,8009B22F0,0,8009B22F0,121.98,US Dollar,121.98,US Dollar,Reinvestment,0,Nopeee
2022/08/01 00:24,11,8003289F0,249457,825F4B630,45.39,US Dollar,45.39,US Dollar,Credit Card,0,Nopeee
2022/08/01 00:22,0,800815DE0,0,800815DE0,23.4,US Dollar,23.4,US Dollar,Reinvestment,0,Nopeee
2022/08/01 00:28,2776,800816450,71901,81AB268F0,30.23,US Dollar,30.23,US Dollar,Credit Card,0,Nopeee
2022/08/01 00:21,11081,8008DDDF0,11081,8008DDDF0,7.37,US Dollar,7.37,US Dollar,Reinvestment,0,Nopeee
2022/08/01 00:15,1601,800970C80,260376,825F955A0,121.38,US Dollar,121.38,US Dollar,Credit Card,0,Nopeee
2022/08/01 00:13,544,8009B23E0,1924,8021B47D0,9.29,US Dollar,9.29,US Dollar,Credit Card,0,Nopeee
2022/08/01 00:13,21418,800A37E30,1315,8009BDC30,178265.0,US Dollar,178265.0,US Dollar,Cheque,0,Nopeee
